"Georges"@mul	2023-07-19T09:23:26	6246|4|0|274
"Kenneth"@en	2023-07-19T09:23:27	5010|5|4|1495
"Pascal"@mul	2023-07-19T09:23:29	5626|22|2|822
"José"@es	2023-07-19T09:23:31	6425|1|0|4
"Ann"@mul	2023-07-19T09:23:32	20|5891|0|515
"René"@mul	2023-07-19T09:23:34	5954|22|1|440
"Yves"@fr	2023-07-19T09:23:35	5824|16|2|564
"Yves"@mul	2023-07-19T09:23:37	5824|16|2|564
"Ray"@mul	2023-07-19T09:23:39	5896|26|6|420
"Gerhard"@mul	2023-07-19T09:23:40	6274|1|1|51
"Helena"@mul	2023-07-19T09:23:42	17|6238|0|53
"Jason"@mul	2023-07-19T09:23:43	4371|4|3|1908
"Ferdinand"@mul	2023-07-19T09:23:45	6092|0|0|187
"Katherine"@mul	2023-07-19T09:23:47	10|5352|1|894
"Julie"@mul	2023-07-19T09:23:49	19|6013|0|206
"Rafael"@mul	2023-07-19T09:23:51	4978|0|0|1241
"محمد"@mul	2023-07-19T09:23:52	6166|0|0|47
"Klaus"@mul	2023-07-19T09:23:53	6043|2|0|157
"Guido"@mul	2023-07-19T09:23:54	5456|4|0|690
"Sophie"@mul	2023-07-19T09:23:56	62|5266|0|807
"Louise"@mul	2023-07-19T09:23:58	23|5279|1|824
"Lisa"@mul	2023-07-19T09:24:00	9|5665|1|375
"Raymond"@mul	2023-07-19T09:24:01	5438|2|0|574
"Timothy"@mul	2023-07-19T09:24:02	3960|5|1|2039
"Julien"@mul	2023-07-19T09:24:04	4930|8|0|1058
"Vincent"@mul	2023-07-19T09:24:05	4767|9|1|1171
"Gary"@mul	2023-07-19T09:24:06	4719|2|2|1211
"Bernhard"@mul	2023-07-19T09:24:07	5531|0|0|402
"Antoine"@fr	2023-07-19T09:24:09	5439|18|0|473
"Jakob"@mul	2023-07-19T09:24:10	5515|2|0|408
"Ruth"@mul	2023-07-19T09:24:12	12|5233|2|679
"Harold"@mul	2023-07-19T09:24:13	5809|1|0|113
"Rebecca"@mul	2023-07-19T09:24:15	11|4165|2|1731
"Ralph"@mul	2023-07-19T09:24:16	5417|0|0|485
"Carlo"@mul	2023-07-19T09:24:17	5820|2|0|23
"Luigi"@mul	2023-07-19T09:24:18	5481|0|0|355
"Johanna"@mul	2023-07-19T09:24:19	18|5262|1|551
"Edmund"@mul	2023-07-19T09:24:20	5599|0|0|218
"Jessica"@mul	2023-07-19T09:24:22	5|5616|7|183
"Evelyn"@mul	2023-07-19T09:24:24	690|4458|4|640
"Marcel"@mul	2023-07-19T09:24:25	5131|6|1|654
"Rachel"@mul	2023-07-19T09:24:26	14|4202|1|1565
"Sebastian"@mul	2023-07-19T09:24:27	4246|4|0|1519
"Guy"@mul	2023-07-19T09:24:28	5255|7|0|473
"Ronald"@mul	2023-07-19T09:24:30	4611|6|0|1109
"Eduardo"@mul	2023-07-19T09:24:31	4601|1|0|1110
"Jerry"@mul	2023-07-19T09:24:32	5030|12|2|668
"Alain"@mul	2023-07-19T09:24:33	5619|1|0|57
"Rita"@mul	2023-07-19T09:24:35	18|4534|0|1086
